code,name,descr
US,United States,United States of America
CA,Canada,Canada
GB,United Kingdom,United Kingdom of Great Britain and Northern Ireland
AU,Australia,Commonwealth of Australia
DE,Germany,Federal Republic of Germany
FR,France,French Republic
ES,Spain,Kingdom of Spain
IT,Italy,Italian Republic
JP,Japan,Japan
CN,China,People's Republic of China
IN,India,Republic of India
BR,Brazil,Federative Republic of Brazil
MX,Mexico,United Mexican States
AR,Argentina,Argentine Republic
ZA,South Africa,Republic of South Africa